City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
25,Cherskiy,RU,2022-09-21 18:45:54,68.75,161.3,36.16,62,78,7.61
26,East London,ZA,2022-09-21 18:45:54,-33.0153,27.9116,59.94,88,0,11.5
27,Hobart,AU,2022-09-21 18:45:55,-42.8794,147.3294,52.27,91,36,9.22
28,Olafsvik,IS,2022-09-21 18:45:55,64.8945,-23.7142,50.29,85,100,2.04
29,Bluff,NZ,2022-09-21 18:45:56,-46.6,168.3333,44.08,87,19,6.13
30,Tiksi,RU,2022-09-21 18:45:56,71.6872,128.8694,33.22,99,100,15.12
31,Kapaa,US,2022-09-21 18:45:56,22.0752,-159.319,82.09,76,40,10.36
32,Uenohara,JP,2022-09-21 18:45:57,35.6167,139.1167,65.01,84,100,4.61
33,Port Hedland,AU,2022-09-21 18:45:57,-20.3167,118.5667,62.65,63,0,6.91
34,Upernavik,GL,2022-09-21 18:45:58,72.7868,-56.1549,34.12,70,100,5.5
35,Bambous Virieux,MU,2022-09-21 18:45:58,-20.3428,57.7575,72.21,88,75,12.66
36,Piet Retief,ZA,2022-09-21 18:45:59,-27.0071,30.8132,50.9,96,100,1.32
37,Carnarvon,AU,2022-09-21 18:45:59,-24.8667,113.6333,64.0,77,0,19.62
38,Ljungby,SE,2022-09-21 18:45:59,56.8332,13.9408,48.61,69,56,3.29
39,Constitucion,CL,2022-09-21 18:46:00,-35.3333,-72.4167,53.71,62,70,11.65
40,Busselton,AU,2022-09-21 18:44:16,-33.65,115.3333,46.47,69,11,8.03
41,Qaanaaq,GL,2022-09-21 18:45:40,77.484,-69.3632,31.14,76,100,6.08
42,Togur,RU,2022-09-21 18:46:00,58.3631,82.8265,59.65,72,99,8.99
43,Bredasdorp,ZA,2022-09-21 18:46:01,-34.5322,20.0403,52.79,87,0,0.63
44,Tuktoyaktuk,CA,2022-09-21 18:47:01,69.4541,-133.0374,41.0,93,100,19.57
45,Bataipora,BR,2022-09-21 18:47:02,-22.2953,-53.2711,79.92,79,80,2.62
46,Vaini,TO,2022-09-21 18:44:13,-21.2,-175.2,75.36,83,75,10.36
47,Ngerengere,TZ,2022-09-21 18:47:02,-6.75,38.1167,73.83,74,88,7.0
